State,District,Latitude,Longitude,District code,Population,sex_ratio,litercy_rate
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,9429408,91.0,76.0
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,1615069,112.0,74.0
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,2822143,97.0,73.0
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,3003741,99.0,74.0
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,849651,104.0,78.0
Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,4317756,94.0,67.0
Maharashtra,Thane,19.698767747440264,72.79882742564581,517,11060148,89.0,74.0
Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,1300774,95.0,78.0
Maharashtra,Washim,20.282282394366213,77.25502394366208,502,1197160,93.0,73.0
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,2772348,95.0,73.0
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,237399,100.0,66.0
Manipur,Chandel,24.2635812987013,94.09443844155844,280,144182,93.0,63.0
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,274143,97.0,71.0
Manipur,Senapati,25.08465586034914,94.03366234413956,272,479148,94.0,55.0
Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,140651,94.0,60.0
Manipur,Thoubal,24.545392553191498,93.97959893617023,276,422168,100.0,64.0
Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,183998,94.0,71.0
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,317917,97.0,60.0
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,825922,101.0,70.0
Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,395124,101.0,47.0
Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,142334,95.0,58.0
Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,643291,98.0,56.0
Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,383461,98.0,60.0
